Datacode,SA_NAME,GEOGID,Electoral Division CSO Code,Electoral Division Name,County,NUTS_III,NUTS_II,Planning Region,Households_With_Cars_No_Motor_Car_2011,Households_With_Cars_One_Motor_Car_2011,Households_With_Cars_Two_Motor_Cars_2011,Households_With_Cars_Three_Motor_Cars_2011,Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Cars_Total_2011,Perc_Households_With_Cars_No_Motor_Car_2011,Perc_Households_With_Cars_One_Motor_Car_2011,Perc_Households_With_Cars_Two_Motor_Cars_2011,Perc_Households_With_Cars_Three_Motor_Cars_2011,Perc_Households_With_Cars_Four_Or_More_Motor_Cars_2011,Households_With_Personal_Computer_Total_2011,Households_With_Personal_Computer_Yes_2011,Households_With_Personal_Computer_No_2011,Households_With_Personal_Computer_Not_Stated_2011,Perc_Households_With_Personal_Computer_Yes_2011,Perc_Households_With_Personal_Computer_No_2011,Perc_Households_With_Personal_Computer_Not_Stated_2011,Households_With_Internet_Access_Broadband_2011,Households_With_Internet_Access_Other_Connection_2011,Households_With_Internet_Access_No_Access_To_Internet_2011,Households_With_Internet_Access_Not_Stated_2011,Households_With_Internet_Access_Total_2011,Perc_Households_With_Internet_Access_Broadband_2011,Perc_Households_With_Internet_Access_Other_Connection_2011,Perc_Households_With_Internet_Access_No_Access_To_Internet_2011,Perc_Households_With_Internet_Access_Not_Stated_2011
17182,27004003,A027004003,32002,002 Bailieborough,Cavan,Border,BMW,North and West,12,27,43,4,8,94,12.77,28.72,45.74,4.26,8.51,94,58,32,4,61.7,34.04,4.26,54,2,33,5,94,57.45,2.13,35.11,5.32
17183,27004004,A027004004,32002,002 Bailieborough,Cavan,Border,BMW,North and West,8,35,42,9,3,97,8.25,36.08,43.3,9.28,3.09,97,63,33,1,64.95,34.02,1.03,50,7,38,2,97,51.55,7.22,39.18,2.06
17184,27004005,A027004005,32002,002 Bailieborough,Cavan,Border,BMW,North and West,8,31,39,10,5,93,8.6,33.33,41.94,10.75,5.38,93,64,28,1,68.82,30.11,1.08,57,6,29,1,93,61.29,6.45,31.18,1.08
17185,27004006,A027004006,32002,002 Bailieborough,Cavan,Border,BMW,North and West,11,45,37,0,0,93,11.83,48.39,39.78,0,0,93,70,22,1,75.27,23.66,1.08,59,11,22,1,93,63.44,11.83,23.66,1.08
17186,27004007,A027004007,32002,002 Bailieborough,Cavan,Border,BMW,North and West,2,19,29,4,2,56,3.57,33.93,51.79,7.14,3.57,56,46,9,1,82.14,16.07,1.79,41,2,13,0,56,73.21,3.57,23.21,0
17187,27004008,A027004008,32002,002 Bailieborough,Cavan,Border,BMW,North and West,11,31,16,2,0,60,18.33,51.67,26.67,3.33,0,60,40,19,1,66.67,31.67,1.67,33,7,18,2,60,55,11.67,30,3.33
17188,27004009,A027004009,32002,002 Bailieborough,Cavan,Border,BMW,North and West,5,31,33,10,3,82,6.1,37.8,40.24,12.2,3.66,82,66,14,2,80.49,17.07,2.44,59,7,14,2,82,71.95,8.54,17.07,2.44
17189,27004010,A027004010,32002,002 Bailieborough,Cavan,Border,BMW,North and West,12,38,23,6,1,80,15,47.5,28.75,7.5,1.25,80,59,20,1,73.75,25,1.25,52,7,20,1,80,65,8.75,25,1.25
17190,27004011,A027004011,32002,002 Bailieborough,Cavan,Border,BMW,North and West,6,35,29,2,1,73,8.22,47.95,39.73,2.74,1.37,73,60,12,1,82.19,16.44,1.37,55,3,14,1,73,75.34,4.11,19.18,1.37
17191,27004012,A027004012,32002,002 Bailieborough,Cavan,Border,BMW,North and West,19,32,11,1,1,64,29.69,50,17.19,1.56,1.56,64,30,34,0,46.88,53.13,0,28,2,33,1,64,43.75,3.13,51.56,1.56
17192,27004013,A027004013,32002,002 Bailieborough,Cavan,Border,BMW,North and West,35,39,5,1,0,80,43.75,48.75,6.25,1.25,0,80,33,42,5,41.25,52.5,6.25,26,2,47,5,80,32.5,2.5,58.75,6.25
17193,27004014,A027004014,32002,002 Bailieborough,Cavan,Border,BMW,North and West,21,43,8,1,1,74,28.38,58.11,10.81,1.35,1.35,74,43,30,1,58.11,40.54,1.35,39,5,28,2,74,52.7,6.76,37.84,2.7
17194,27004015,A027004015,32002,002 Bailieborough,Cavan,Border,BMW,North and West,26,43,13,1,1,84,30.95,51.19,15.48,1.19,1.19,84,51,31,2,60.71,36.9,2.38,44,5,34,1,84,52.38,5.95,40.48,1.19
17195,27004016,A027004016,32002,002 Bailieborough,Cavan,Border,BMW,North and West,13,53,18,2,0,86,15.12,61.63,20.93,2.33,0,86,54,31,1,62.79,36.05,1.16,45,6,34,1,86,52.33,6.98,39.53,1.16
17196,27004017,A027004017,32002,002 Bailieborough,Cavan,Border,BMW,North and West,24,26,10,0,1,61,39.34,42.62,16.39,0,1.64,61,30,27,4,49.18,44.26,6.56,24,3,30,4,61,39.34,4.92,49.18,6.56
17197,27004018,A027004018,32002,002 Bailieborough,Cavan,Border,BMW,North and West,5,36,31,5,2,79,6.33,45.57,39.24,6.33,2.53,79,59,20,0,74.68,25.32,0,50,5,24,0,79,63.29,6.33,30.38,0
17320,27005001,A027005001,32038,038 Ballintemple,Cavan,Border,BMW,North and West,6,30,23,11,5,75,8,40,30.67,14.67,6.67,75,52,21,2,69.33,28,2.67,40,8,26,1,75,53.33,10.67,34.67,1.33
17321,27005002,A027005002,32038,038 Ballintemple,Cavan,Border,BMW,North and West,3,22,33,4,5,67,4.48,32.84,49.25,5.97,7.46,67,44,22,1,65.67,32.84,1.49,35,8,24,0,67,52.24,11.94,35.82,0
17239,27006001,A027006001,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,13,30,21,8,5,77,16.88,38.96,27.27,10.39,6.49,77,51,25,1,66.23,32.47,1.3,46,3,27,1,77,59.74,3.9,35.06,1.3
17240,27006002,A027006002,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,3,31,29,2,4,69,4.35,44.93,42.03,2.9,5.8,69,42,27,0,60.87,39.13,0,44,0,24,1,69,63.77,0,34.78,1.45
17241,27006003,A027006003,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,21,27,16,0,0,64,32.81,42.19,25,0,0,64,40,24,0,62.5,37.5,0,32,7,25,0,64,50,10.94,39.06,0
17242,27006004,A027006004,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,25,31,11,5,0,72,34.72,43.06,15.28,6.94,0,72,37,33,2,51.39,45.83,2.78,32,2,37,1,72,44.44,2.78,51.39,1.39
17243,27006005,A027006005,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,10,35,19,3,0,67,14.93,52.24,28.36,4.48,0,67,43,24,0,64.18,35.82,0,42,1,23,1,67,62.69,1.49,34.33,1.49
17244,27006006,A027006006,32015,015 Ballyconnell,Cavan,Border,BMW,North and West,9,29,18,3,0,59,15.25,49.15,30.51,5.08,0,59,45,13,1,76.27,22.03,1.69,44,2,12,1,59,74.58,3.39,20.34,1.69
